frame,left_id,right_id,x,y,z
1,0,5.0,475.6413158715958,-251.6092657587748,2175.9994862452977
1,1,6.0,358.94166786611464,-255.29919976832238,2170.8090674393643
1,2,3.0,1187.8918287620897,-270.1037523948443,2587.2992956906032
1,3,0.0,273.15006819683106,-478.0479335766359,2606.051411362065
1,4,2.0,634.8039719274608,-551.1191753637636,2809.7242788604367
1,5,1.0,576.2384283047447,-529.9940076070102,2647.4375027675856
1,6,7.0,240.94782397515485,-109.50230361033113,2528.0346191459544
1,8,4.0,420.057359700673,71.89487606105979,2111.931521867791
2,0,5.0,475.47729158906236,-251.54261584135992,2175.238451706106
2,1,6.0,358.52569205167003,-255.50564394212904,2171.221395033366
2,2,3.0,1188.2233122012553,-269.98367725684307,2587.667520264475
2,3,0.0,273.1354317781192,-478.186075397134,2605.896119994753
2,4,2.0,634.4517309781348,-551.4847104417526,2808.668167407278
2,5,1.0,576.2222791844931,-530.0154932568703,2647.1396203867193
2,6,7.0,241.30838312711992,-109.59487077660062,2528.6526943591803
2,8,4.0,419.01107367327825,71.66162517563382,2108.8502294352443
3,0,5.0,475.3313814836564,-251.48535696446845,2174.560257866582
3,1,6.0,358.09632574281096,-255.6847392263056,2171.5541690906243
3,2,3.0,1188.461159716852,-269.83779930210204,2587.781625090309
3,3,0.0,273.1209403969482,-478.31380660619556,2605.7455559766236
3,4,2.0,634.0989047041019,-551.861044944533,2807.607130234123
3,5,1.0,576.2061329982066,-530.0369726355533,2646.841790222544
3,6,7.0,241.65830956191675,-109.70245756382398,2529.388705953725
3,8,4.0,417.9694115826765,71.41655517556005,2105.691939450345
4,0,5.0,475.18513234898415,-251.44606183786652,2173.880001687256
4,1,6.0,357.6800164399069,-255.8913059934271,2171.9664764215977
4,2,3.0,1188.792767705966,-269.7176593767707,2588.149929301656
4,3,0.0,273.1189769126413,-478.4632843775431,2605.714478759292
4,4,2.0,633.7471969948798,-552.2260547760118,2806.552606996839
4,5,1.0,576.1899897450386,-530.0584457447864,2646.54401225993
4,6,7.0,242.0085116806304,-109.79053294218062,2529.895428789478
4,8,4.0,416.9289027355454,71.17553727272484,2102.6241635698225
5,0,5.0,475.0214337758489,-251.37953706837007,2173.120458738457
5,1,6.0,357.2635340544948,-256.09794065879214,2172.378789135095
5,2,3.0,1189.0855088691178,-269.5839673309686,2588.383381397796
5,3,0.0,273.1044875122127,-478.5909933953923,2605.5639379106015
5,4,2.0,633.4048656063935,-552.6195781507973,2805.646784340694
5,5,1.0,576.1794975122766,-530.105830903878,2646.3773351898694
5,6,7.0,242.3693290067579,-109.89376975272856,2530.517027750975
5,8,4.0,415.89389753048994,70.94951444534188,2099.486777640431
6,0,5.0,474.87581353542265,-251.32238748356875,2172.443591217875
6,1,6.0,356.8333741287106,-256.295129992037,2172.7089190216097
6,2,3.0,1189.4172649545146,-269.4637587717609,2588.751800085952
6,3,0.0,273.08985659162795,-478.7290833248857,2605.4087101795303
6,4,2.0,633.0536663265055,-552.984076793936,2804.593728824776
6,5,1.0,576.1640506238515,-530.1168194794692,2646.084721636128
6,6,7.0,242.73057800656986,-109.98651330508477,2531.1360861640437
6,8,4.0,414.84444119384574,70.70706164233948,2096.361094686158
7,0,5.0,474.7118796767906,-251.2648360808233,2171.680981482216
7,1,6.0,356.42131315386246,-256.48321966585394,2173.0390304844086
7,2,3.0,1189.6552223305293,-269.31778719379884,2588.865871493698
7,3,0.0,273.0753705787312,-478.85676484895566,2605.258206964798
7,4,2.0,632.7018847644803,-553.3593583399742,2803.5357578287358
7,5,1.0,576.1479147375942,-530.1382734094146,2645.787072026145
7,6,7.0,243.0815085617916,-110.08376570027731,2531.8705413416824
7,8,4.0,413.8131311318495,70.46816418361513,2093.32056751498
8,0,5.0,474.5664561911976,-251.20776188472908,2171.005013663726
8,1,6.0,356.00434149192466,-256.6900371397437,2173.4512988068263
8,2,3.0,1189.9860783123133,-269.18681832463494,2589.231245368784
8,3,0.0,273.0608862406457,-478.9844329550759,2605.1077221405417
8,4,2.0,632.351216339913,-553.7233342320284,2802.4842837678725
8,5,1.0,576.1317817815121,-530.1597210766043,2645.4894745656593
8,6,7.0,243.4320708727955,-110.18254000777867,2532.3808169008826
8,8,4.0,412.7869665551458,70.22671385752602,2090.20887028911
9,0,5.0,474.4211498073723,-251.15974362251498,2170.3310642942383
9,1,6.0,355.5871966837272,-256.8969225134846,2173.8635722573713
9,2,3.0,1190.2790074537675,-269.05301263080355,2589.4647632844753
9,3,0.0,273.04626050143963,-479.12248000027944,2604.9525528313134
9,4,2.0,632.0006321735119,-554.0751447221224,2801.431825102048
9,5,1.0,576.1156517547607,-530.1811624827634,2645.1919292395714
9,6,7.0,243.79383706697382,-110.2754149236609,2533.000615198171
9,8,4.0,411.7621192497006,70.00670428001402,2087.1883934936654
10,0,5.0,474.25799597591003,-251.0934327390634,2169.5740158674157
10,1,6.0,355.1564277784997,-257.0943251842508,2174.1935456075607
10,2,3.0,1190.6110349146272,-268.9326689232085,2589.8333721472063
10,3,0.0,273.0317795486762,-479.250120630611,2604.8021056200514
10,4,2.0,631.6504925626849,-554.4386076325269,2800.381925773784
10,5,1.0,576.105166281922,-530.228509085236,2645.02535310614
10,6,7.0,244.15552144187686,-110.37888429083301,2533.623450358797
10,8,4.0,410.74203884375453,69.76666106996723,2084.0949934243113
11,0,5.0,474.11240623525043,-251.04534280304551,2168.895295083014
11,1,6.0,354.7391890238956,-257.29245229494205,2174.609717062674
11,2,3.0,1190.8468406922575,-268.79724990033895,2589.9412125558465
11,3,0.0,273.0298180048891,-479.3995433599954,2604.771060055849
11,4,2.0,631.3087506348729,-554.8416623431198,2799.474366676355
11,5,1.0,576.0890407006269,-530.249936187773,2644.727883038775
11,6,7.0,244.50719959102383,-110.47633676450677,2534.3591360461455
11,8,4.0,409.7227489950568,69.53054772400056,2081.090091492831
12,0,5.0,473.9673632869582,-250.9884136575792,2168.2210682100463
12,1,6.0,354.32153703928094,-257.49953014743795,2175.0219733851036
12,2,3.0,1191.1789908386272,-268.6768428525557,2590.3098964409737
12,3,0.0,273.01533902985176,-479.5271618297722,2604.6206359870866
12,4,2.0,630.9591171256238,-555.2046131321874,2798.4259292336546
12,5,1.0,576.0729180465738,-530.2713570344962,2644.4304650692443
12,6,7.0,244.8692476188263,-110.57990581256755,2534.982525976978
12,8,4.0,408.7067789728464,69.30417794593521,2078.09852273251
13,0,5.0,473.8045327389287,-250.92223010719354,2167.4654994938696
13,1,6.0,353.8903011238298,-257.69709690649825,2175.351838109567
13,2,3.0,1191.5112271744492,-268.55639931207617,2590.6786582559853
13,3,0.0,273.0007187807764,-479.665157058955,2604.4655302407523
13,4,2.0,630.6097468683536,-555.5673065145812,2797.378276049138
13,5,1.0,576.0574901599357,-530.2823107086889,2644.1381942875614
13,6,7.0,245.2208701455262,-110.65775699848844,2535.4970200339912
13,8,4.0,407.6957045865942,69.06624011582461,2075.032135797385
14,0,5.0,473.6592560345642,-250.88324772720384,2166.789695789964
14,1,6.0,353.47703909907193,-257.8853656793986,2175.6764250948368
14,2,3.0,1191.8044059386598,-268.4224496585619,2590.912278076251
14,3,0.0,272.98624318862363,-479.792748074489,2604.315143762274
14,4,2.0,630.2606395613433,-555.9297427999509,2796.331406256326
14,5,1.0,576.0413733426597,-530.3037204525468,2643.840881300161
14,6,7.0,245.5728552901421,-110.7659179720537,2536.236432286356
14,8,4.0,406.68532640011364,68.84050094967114,2072.0509129831694
15,0,5.0,473.514500401589,-250.82642692200525,2166.11678356955
15,1,6.0,353.0591352702547,-258.08373636688697,2176.092557219919
15,2,3.0,1192.0807048588351,-268.27904967798713,2591.158358844391
15,3,0.0,272.97176926900624,-479.92032569119823,2604.16477565288
15,4,2.0,629.9109560303807,-556.30292859628,2795.2796415116936
15,5,1.0,576.0308946219362,-530.3510285372982,2643.674405982247
15,6,7.0,245.93567880400266,-110.85906184279906,2536.857774400205
15,8,4.0,405.67816589425695,68.61612370986992,2069.085370676824
16,0,5.0,473.35199204970047,-250.76036718320393,2165.362690358713
16,1,6.0,352.6274508987258,-258.28145655023087,2176.4222922544254
16,2,3.0,1192.3739675701754,-268.14504517967964,2591.3919985316243
16,3,0.0,272.9572970215689,-480.04788991191805,2604.014425909198
16,4,2.0,629.5623747879457,-556.6648471126219,2794.234339515603
16,5,1.0,576.0147822445689,-530.372423994233,2643.377168158729
16,6,7.0,246.2986769789557,-110.9522487808063,2537.479362098296
16,8,4.0,404.6615041054632,68.37753926535153,2065.9718312723267
17,0,5.0,473.20743105102184,-250.70362382111603,2164.6906686130446
17,1,6.0,352.2089763752343,-258.4888411089386,2176.8344804663534
17,2,3.0,1192.7064755229808,-268.024466258971,2591.760950464012
17,3,0.0,272.9426836551652,-480.18582827904896,2603.8593977208257
17,4,2.0,629.2140555922413,-557.0265094629395,2793.1898183180697
